id,pi_list,pi_cs_code,pi_part_code,pi_curr,pi_um,pi_start,pi_expire,pi_list_price,created_at,updated_at,edited_by,x,,
0,327-2104,BINTANA,327-0255 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-0288 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-0288 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-0350 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-0408 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-0408 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-0408 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-0450 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-0550 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-2168 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-2168 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-2261 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-2261 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-2603 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-2603 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-2603 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-2636 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-2636 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-2636 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-2684 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-2684 Standard,IDR,GR,20/02/2020,31/12/2040,236.5,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-2684 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-3223 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-3223 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-3266 Special,IDR,GR,20/02/2020,31/12/2040,298.1,06/07/2021,06/07/2021,imi,,,
0,327-2104,BINTANA,327-3266 Xirallic,IDR,GR,20/02/2020,31/12/2040,672.1,06/07/2021,06/07/2021,imi,,,
